fips_code,county,state,customers_out,run_start_time
51107,Loudoun,Virginia,1.0,2025-01-04 14:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 14:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 15:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 15:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 15:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 15:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 16:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 16:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 16:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 16:45:00
51107,Loudoun,Virginia,3.0,2025-01-04 17:00:00
51107,Loudoun,Virginia,3.0,2025-01-04 17:15:00
51107,Loudoun,Virginia,3.0,2025-01-04 17:30:00
51107,Loudoun,Virginia,3.0,2025-01-04 17:45:00
51107,Loudoun,Virginia,3.0,2025-01-04 18:00:00
51107,Loudoun,Virginia,3.0,2025-01-04 18:15:00
51107,Loudoun,Virginia,11.0,2025-01-04 18:30:00
51107,Loudoun,Virginia,9.0,2025-01-04 18:45:00
51107,Loudoun,Virginia,9.0,2025-01-04 19:00:00
51107,Loudoun,Virginia,9.0,2025-01-04 19:15:00
51107,Loudoun,Virginia,9.0,2025-01-04 19:30:00
51107,Loudoun,Virginia,9.0,2025-01-04 19:45:00
51107,Loudoun,Virginia,9.0,2025-01-04 20:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 20:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 20:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 20:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 21:00:00
51107,Loudoun,Virginia,1.0,2025-01-04 21:15:00
51107,Loudoun,Virginia,1.0,2025-01-04 21:30:00
51107,Loudoun,Virginia,1.0,2025-01-04 21:45:00
51107,Loudoun,Virginia,1.0,2025-01-04 22:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 00:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 00:15:00
51107,Loudoun,Virginia,1.0,2025-01-05 00:30:00
51107,Loudoun,Virginia,1.0,2025-01-05 00:45:00
51107,Loudoun,Virginia,1.0,2025-01-05 01:00:00
51107,Loudoun,Virginia,2.0,2025-01-05 02:45:00
51107,Loudoun,Virginia,2.0,2025-01-05 03:00:00
51107,Loudoun,Virginia,1.0,2025-01-05 05:15:00
